StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,A-1-Q1,A-1-Q2,A-1-Q3,A-1-Q4,A-1-Q5,A-1-Q6,B-1-Q1,B-1-Q2,B-1-Q3,B-1-Q4,B-1-Q5,B-1-Q6,A-N-Q1,A-N-Q2,A-N-Q3,B-N-Q1,B-N-Q2,B-N-Q3,Q69,Q70
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Practice Question:

 
Select the ID number of the most different plot.",Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,"[Insert Image]
Please select the ID number for the most different plot.",Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Have you taken a Statistics class in the past?,What is the most recent statistics course you have taken?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID24""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID13""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID31""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}"
2018-04-19 11:52:53,2018-04-19 12:00:10,0,137.22.5.52,100,437,1,2018-04-19 12:00:11,R_2dWmAJr1kasQYKp,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,,,,"3,12","7,8,15",2,4,MATH345
2018-04-19 11:46:25,2018-04-19 12:00:41,0,137.22.5.54,100,856,1,2018-04-19 12:00:42,R_10GkHty0GoG7kw9,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,11,19,15,14,9,16,,,,,,,"14,17","5,7",6,,,,4,Data Science
2018-04-19 11:48:47,2018-04-19 12:02:08,0,137.22.5.50,100,800,1,2018-04-19 12:02:08,R_2fd6fBTrHdt0avN,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,3,7,2,4,280 (Stats Consulting)
2018-04-19 11:52:01,2018-04-19 12:03:02,0,137.22.5.49,100,661,1,2018-04-19 12:03:03,R_2SpnhC9N8G0pVwD,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,14,"5,7,10,15",6,,,,5,
2018-04-19 11:45:46,2018-04-19 12:07:04,0,137.22.5.48,100,1277,1,2018-04-19 12:07:04,R_1FA6ATUzAeVuTSk,,,,,44.461395263672,-93.200698852539,anonymous,EN,12,,,,,,,20,1,9,8,17,8,14,"5,7,10,15","6,10,12",,,,4,215
2018-04-19 12:03:32,2018-04-19 12:09:49,0,137.22.5.49,100,377,1,2018-04-19 12:09:49,R_1IHhuUDbW0t0d79,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,2,14,9,9,,,,,,,,,,3,7,"8,18",5,
2018-04-19 12:03:04,2018-04-19 12:10:24,0,137.22.5.50,100,439,1,2018-04-19 12:10:24,R_2axd5CpjQg4712X,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,14,14,1,17,8,14,"5,7,10,14",6,,,,4,"265, Probability"
2018-04-19 11:49:43,2018-04-19 12:12:53,0,137.22.5.62,100,1389,1,2018-04-19 12:12:53,R_3MhuP95OM6UDMIW,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15","2,6",4,Stochastic Processes
2018-04-19 12:00:36,2018-04-19 12:13:10,0,137.22.5.52,100,754,1,2018-04-19 12:13:11,R_28ZJDWQzG0L00TP,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,"14,15,19,20","5,7,10,15","6,10",,,,5,
2018-04-19 12:07:51,2018-04-19 12:24:01,0,137.22.5.48,100,969,1,2018-04-19 12:24:02,R_57k2ASQY2XZEh5T,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,9,,,,,,,,,,3,"7,8",2,4,Math 215
2018-04-19 12:10:09,2018-04-19 12:26:58,0,137.22.5.49,100,1008,1,2018-04-19 12:27:11,R_1fiQTCDi7mBU01H,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,13,19,10,17,8,14,"5,10,15","6,10",,,,4,Stats 215
2018-04-19 12:13:17,2018-04-19 12:28:25,0,137.22.5.62,100,908,1,2018-04-19 12:28:25,R_2XnzKLGPvvcBnFG,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,11,12,2,14,9,4,,,,,,,,,,"4,5,12","4,5,7,18",2,5,
2018-04-19 12:25:32,2018-04-19 12:37:07,0,137.22.5.48,100,694,1,2018-04-19 12:37:07,R_1dhiVy4IMunoVqj,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15","2,6",4,275
2018-04-19 12:38:22,2018-04-19 12:42:48,0,137.22.5.48,100,266,1,2018-04-19 12:42:48,R_1jH6X0poh75fKFY,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,"14,17","5,7,10,15","6,10",,,,4,Advanced Modeling
2018-04-19 12:27:19,2018-04-19 12:57:36,0,137.22.5.49,100,1816,1,2018-04-19 12:57:42,R_1oGY43PubWDEWtO,,,,,44.461395263672,-93.200698852539,anonymous,EN,15,,,,,,,20,15,3,8,17,5,,,,"3,12","7,8,15","1,2,6,9",4,STAT 215
2018-04-19 12:45:26,2018-04-19 13:05:43,0,137.22.5.48,100,1217,1,2018-04-19 13:05:44,R_C203sDPYWcKDfXP,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,1,17,8,"14,15,17","5,7,10,15",6,,,,4,215
2018-04-19 12:10:40,2018-04-19 13:11:17,0,137.22.5.50,100,3637,1,2018-04-19 13:11:24,R_D0RiNLdhKmIIg6d,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,"3,12","7,8,15","2,6",5,
2018-04-19 13:06:24,2018-04-19 13:16:38,0,137.22.5.48,100,613,1,2018-04-19 13:16:38,R_1CejMZU8KW4oZKp,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,"14,17","5,7,10,15","6,14",,,,4,Math 280
2018-04-19 13:11:56,2018-04-19 13:20:10,0,137.22.5.50,100,494,1,2018-04-19 13:20:10,R_Rw6G1fur9dbSRa1,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,20,14,9,8,,,,,,,"3,14","5,7,10","6,10,16",,,,4,265
2018-04-19 13:04:01,2018-04-19 13:21:44,0,137.22.5.49,100,1062,1,2018-04-19 13:21:45,R_5tZqam2gRrtbwLD,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15",2,4,Applied Regression
2018-04-19 13:17:25,2018-04-19 13:24:06,0,137.22.5.48,100,401,1,2018-04-19 13:24:06,R_1P2gDTRyUL6suNj,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,"3,12","7,8,15","2,6",4,Math 275
2018-04-20 09:48:59,2018-04-20 10:18:56,0,137.22.5.49,100,1796,1,2018-04-20 10:18:56,R_2CkpUhBMxOooKBE,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,3,2,11,14,9,16,,,,,,,14,"5,7,10,15","5,6,8,10",,,,4,STATS 215 w Bob Dobrow
2018-04-20 09:48:05,2018-04-20 10:31:08,0,137.22.5.48,100,2583,1,2018-04-20 10:31:09,R_2WNXqU5jeEjS0yI,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,"14,17","5,7,10,15","6,14",,,,4,Stats Inference
2018-04-20 10:34:52,2018-04-20 10:47:54,0,137.22.5.54,100,781,1,2018-04-20 10:47:55,R_3IfIg7ajlvoGDId,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,14,14,9,8,,,,,,,,,,"3,12",7,"2,6,14",4,215
2018-04-20 10:32:47,2018-04-20 10:48:45,0,137.22.5.49,100,958,1,2018-04-20 10:48:47,R_3L0j2Q9LNZOHPMF,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,3,"7,15","2,6",4,Statistical Inference
2018-04-20 10:33:42,2018-04-20 10:49:22,0,137.22.5.52,100,939,1,2018-04-20 10:49:22,R_1IYqyhtvDhrpeVk,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,17,17,8,,,,3,"7,15",2,5,
2018-04-20 10:32:50,2018-04-20 10:49:52,0,137.22.5.48,100,1021,1,2018-04-20 10:49:53,R_Zdxk6VVDUptbZDz,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,"14,17","5,7,10,15","6,14",,,,4,Intro to Stats Inference
2018-04-20 10:34:11,2018-04-20 10:50:53,0,137.22.5.62,100,1001,1,2018-04-20 10:50:53,R_xnDQFp7O9fXSbjX,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,16,17,8,"14,17","5,7,10,15","6,13",,,,4,MATH 275 (currently enrolled)
2018-04-20 10:34:05,2018-04-20 10:51:35,0,137.22.5.50,100,1050,1,2018-04-20 10:51:35,R_1n7RNnmXmWdBGOf,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,,,,"3,12,13","7,8,15",2,4,Applied Regression
2018-04-20 10:48:45,2018-04-20 10:52:23,0,137.22.5.54,100,217,1,2018-04-20 10:52:24,R_Ant2X9OId8jAH1D,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,9,,,,,,,"14,17",15,"6,14",,,,4,MATH 245
2018-04-20 10:49:02,2018-04-20 10:53:09,0,137.22.5.49,100,246,1,2018-04-20 10:53:09,R_UbcDIuwFntTjO8N,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15","2,6",4,"AP Statistics "
2018-04-20 10:49:34,2018-04-20 10:53:37,0,137.22.5.52,100,243,1,2018-04-20 10:53:38,R_1r6uj5B0T3t0Pgc,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,14,"5,7,18",6,,,,5,
2018-04-20 10:50:06,2018-04-20 10:57:07,0,137.22.5.48,100,420,1,2018-04-20 10:57:07,R_27IOtWPemXVFbeO,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,,,,"3,7","5,7",2,4,Math 275: Statistical Inference
2018-04-20 10:53:48,2018-04-20 11:02:38,0,137.22.5.52,100,530,1,2018-04-20 11:02:39,R_1DtC7kFgxLALzQo,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,17,8,1,17,8,14,"5,7","6,10",,,,4,MA 275
2018-04-20 10:53:40,2018-04-20 11:03:21,0,137.22.5.49,100,580,1,2018-04-20 11:03:22,R_bgfwX79xrUqNp6N,,,,,44.461395263672,-93.200698852539,anonymous,EN,12,,,,,,,20,10,14,17,17,8,,,,"3,5","7,15",2,5,
2018-04-20 10:52:01,2018-04-20 11:03:44,0,137.22.5.50,100,703,1,2018-04-20 11:03:45,R_3kvV0Jj6d4FjOq4,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,15,,,,,,,14,"5,7,10,15","6,14",,,,4,Math 265: Probability
2018-04-20 10:51:08,2018-04-20 11:05:01,0,137.22.5.62,100,832,1,2018-04-20 11:05:01,R_0dewE0FdGoBqlmV,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,"3,12","7,8,15","2,6",4,Advanced Statistical Modeling
2018-04-20 10:58:54,2018-04-20 11:09:23,0,137.22.5.48,100,628,1,2018-04-20 11:09:23,R_3ERcunaETFPGiMl,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,15,5,8,17,8,14,"5,7",6,,,,4,345
2018-04-20 11:04:48,2018-04-20 11:11:59,0,137.22.5.52,100,431,1,2018-04-20 11:12:00,R_dgtIcRTc9kl9CRH,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,12,2,11,14,9,16,,,,,,,14,"5,7",6,,,,4,Regression
2018-04-20 11:12:13,2018-04-20 11:27:02,0,137.22.5.52,100,888,1,2018-04-20 11:27:02,R_3rIkzVND54VnA8D,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,9,,,,,,,,,,"3,12","7,8,15","2,3,6",4,275
2018-04-20 11:28:31,2018-04-20 11:39:42,0,137.22.5.52,100,671,1,2018-04-20 11:39:42,R_3kAR750izc7DcAS,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15",2,5,
2018-04-20 11:40:19,2018-04-20 11:47:19,0,137.22.5.52,100,420,1,2018-04-20 11:47:19,R_12RRNRetARlAduT,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,5,9,3,,,,,,,14,"5,7,10,15","6,11",,,,5,
2018-04-20 11:04:53,2018-04-20 11:47:46,0,137.22.5.49,100,2572,1,2018-04-20 11:47:46,R_2uCictF8tdvuRHr,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,20,16,17,8,"3,14,15","5,7,10,15",6,,,,4,Applied Regression Analysis
2018-04-20 10:52:58,2018-04-20 11:53:34,0,137.22.5.54,100,3636,1,2018-04-20 11:53:35,R_2DP8ZaicXDl6HA0,,,,,44.461395263672,-93.200698852539,anonymous,EN,17,15,2,5,14,9,12,,,,,,,,,,"3,5","7,8,15",2,4,245
2018-04-22 13:36:40,2018-04-22 13:41:25,0,137.22.11.211,100,285,1,2018-04-22 13:41:25,R_3DoIW9ncdYhv2DP,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12,13","7,8,15","2,6,8,9",4,215
2018-04-22 13:37:19,2018-04-22 13:42:00,0,137.22.11.209,100,281,1,2018-04-22 13:42:01,R_C9wiwCve17IgOFb,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,"14,17","5,7,10,15","6,7,11,14",,,,4,MATH 345
2018-04-22 13:37:11,2018-04-22 13:42:13,0,137.22.11.210,100,301,1,2018-04-22 13:42:14,R_40B7QIHSPQDt66d,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,9,,,,,,,,,,"3,12","7,8,15","2,6,8",5,
2018-04-22 13:38:55,2018-04-22 13:43:11,0,137.22.11.212,100,255,1,2018-04-22 13:43:12,R_3KIRl7gGgPkEZgG,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,10,,,,,,,14,"5,7,10","6,10",,,,4,Applied Regression Analysis
2018-04-22 13:42:31,2018-04-22 13:46:58,0,137.22.11.210,100,267,1,2018-04-22 13:46:59,R_2wjBZRLUF3UzkaL,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,5,1,4,8,17,8,"3,14,16","5,7,10,15","5,6,9",,,,4,MATH 245
2018-04-22 13:41:37,2018-04-22 13:48:49,0,137.22.11.211,100,431,1,2018-04-22 13:48:50,R_3GDuK2awUdkR9IZ,,,,,44.461395263672,-93.200698852539,anonymous,EN,13,17,2,2,14,9,9,,,,,,,,,,3,"7,8,15","2,18",5,
